X_7days_dt=001,T_7days_dt=001,X_30days_dt=001,T_30days_dt=001,X_365days_dt=001,T_365days_dt=001,X_7days_dt=1,T_7days_dt=1,X_30days_dt=1,T_30days_dt=1,X_365days_dt=1,T_365days_dt=1,X_7days_dt=01,T_7days_dt=01,X_30days_dt=01,T_30days_dt=01,X_365days_dt=01,T_365days_dt=01
0.000,30.000,0.000,30.000,0.000,30.000,0.000,30.000,0.000,30.000,0.000,30.000,0.000,30.000,0.000,30.000,0.000,30.000
0.064,29.607,0.091,29.749,0.101,29.915,0.075,29.643,0.093,29.785,0.107,29.938,0.072,29.643,0.091,29.737,0.104,29.927
0.155,29.110,0.214,29.394,0.251,29.785,0.174,29.181,0.227,29.489,0.248,29.832,0.165,29.146,0.219,29.442,0.248,29.808
0.248,28.602,0.336,29.051,0.390,29.666,0.267,28.685,0.353,29.170,0.393,29.726,0.259,28.637,0.345,29.110,0.390,29.690
0.336,28.129,0.459,28.685,0.534,29.536,0.366,28.212,0.482,28.874,0.537,29.607,0.358,28.164,0.467,28.791,0.537,29.595
0.427,27.620,0.588,28.324,0.676,29.418,0.462,27.738,0.609,28.578,0.681,29.501,0.451,27.691,0.593,28.460,0.678,29.465
0.516,27.159,0.705,27.987,0.820,29.288,0.566,27.265,0.740,28.271,0.823,29.394,0.545,27.194,0.721,28.129,0.820,29.371
0.612,26.639,0.841,27.608,0.962,29.170,0.665,26.804,0.868,27.987,0.967,29.288,0.646,26.733,0.847,27.833,0.967,29.264
0.713,26.142,0.962,27.289,1.103,29.028,0.767,26.355,0.996,27.691,1.111,29.193,0.745,26.248,0.975,27.502,1.106,29.170
0.809,25.645,1.085,26.946,1.248,28.909,0.874,25.905,1.127,27.395,1.256,29.075,0.847,25.775,1.101,27.183,1.256,29.063
0.911,25.184,1.207,26.615,1.392,28.779,0.980,25.468,1.258,27.112,1.397,28.957,0.951,25.326,1.226,26.875,1.395,28.969
1.010,24.711,1.338,26.260,1.539,28.649,1.085,25.042,1.386,26.816,1.541,28.874,1.055,24.864,1.354,26.568,1.539,28.850
1.114,24.261,1.461,25.941,1.686,28.531,1.197,24.616,1.517,26.532,1.683,28.756,1.159,24.439,1.485,26.260,1.680,28.744
1.221,23.824,1.583,25.627,1.825,28.413,1.314,24.214,1.648,26.248,1.827,28.649,1.269,24.025,1.611,25.964,1.827,28.637
1.336,23.374,1.710,25.314,1.972,28.283,1.427,23.824,1.779,25.988,1.969,28.555,1.378,23.611,1.736,25.669,1.969,28.543
1.453,22.960,1.835,25.006,2.119,28.164,1.547,23.469,1.913,25.716,2.113,28.448,1.496,23.244,1.873,25.373,2.113,28.413
1.571,22.564,1.972,24.687,2.252,28.034,1.667,23.102,2.044,25.456,2.257,28.342,1.614,22.866,2.004,25.089,2.260,28.306
1.694,22.191,2.097,24.403,2.394,27.928,1.790,22.759,2.177,25.184,2.402,28.235,1.734,22.499,2.129,24.805,2.402,28.212
1.830,21.837,2.236,24.084,2.535,27.809,1.916,22.452,2.311,24.935,2.546,28.141,1.857,22.180,2.263,24.521,2.543,28.081
1.966,21.517,2.367,23.812,2.685,27.679,2.046,22.156,2.447,24.675,2.688,28.046,1.982,21.872,2.396,24.273,2.685,27.963
2.108,21.233,2.501,23.552,2.824,27.561,2.177,21.896,2.581,24.439,2.829,27.940,2.116,21.588,2.530,24.013,2.829,27.869
2.268,20.949,2.645,23.268,2.976,27.431,2.314,21.647,2.712,24.214,2.974,27.833,2.249,21.340,2.664,23.764,2.974,27.762
2.420,20.748,2.781,23.019,3.115,27.325,2.447,21.423,2.848,23.977,3.118,27.738,2.386,21.115,2.797,23.516,3.115,27.668
2.573,20.559,2.915,22.771,3.259,27.206,2.586,21.222,2.987,23.753,3.262,27.644,2.527,20.914,2.933,23.291,3.258,27.549
2.720,20.435,3.043,22.570,3.404,27.076,2.725,21.044,3.120,23.528,3.404,27.537,2.669,20.760,3.070,23.067,3.404,27.455
2.853,20.334,3.190,22.333,3.535,26.982,2.867,20.890,3.262,23.327,3.548,27.443,2.811,20.607,3.206,22.842,3.545,27.348
3.000,20.264,3.340,22.097,3.676,26.863,3.008,20.748,3.396,23.114,3.692,27.348,2.952,20.476,3.345,22.641,3.690,27.242
3.153,20.193,3.478,21.919,3.826,26.745,3.153,20.630,3.535,22.925,3.837,27.242,3.096,20.382,3.484,22.440,3.832,27.135
3.297,20.133,3.617,21.742,3.970,26.639,3.297,20.536,3.676,22.735,3.981,27.147,3.238,20.299,3.623,22.251,3.975,27.053
3.444,20.110,3.767,21.565,4.117,26.497,3.441,20.441,3.812,22.558,4.125,27.053,3.385,20.228,3.762,22.049,4.117,26.946
3.583,20.086,3.925,21.399,4.259,26.402,3.585,20.370,3.954,22.381,4.267,26.970,3.532,20.181,3.898,21.896,4.261,26.863
3.735,20.051,4.085,21.233,4.408,26.296,3.727,20.311,4.096,22.227,4.411,26.875,3.674,20.145,4.037,21.730,4.406,26.757
3.882,20.027,4.235,21.091,4.553,26.189,3.874,20.264,4.237,22.061,4.555,26.780,3.815,20.110,4.178,21.582,4.547,26.662
4.026,20.015,4.366,20.985,4.694,26.071,4.018,20.216,4.379,21.919,4.697,26.686,3.962,20.086,4.323,21.446,4.694,26.568
4.173,20.003,4.512,20.879,4.822,25.976,4.162,20.181,4.518,21.777,4.842,26.597,4.106,20.074,4.467,21.316,4.838,26.473
4.312,20.015,4.662,20.760,4.988,25.858,4.307,20.157,4.659,21.635,4.988,26.508,4.253,20.051,4.609,21.186,4.977,26.378
4.454,20.015,4.806,20.666,,,4.451,20.122,4.804,21.517,,,4.398,20.051,4.750,21.080,,
4.603,20.003,4.951,20.607,,,4.601,20.086,4.945,21.399,,,4.542,20.051,4.895,20.973,,
4.748,19.991,,,,,4.745,20.086,,,,,4.689,20.039,,,,
4.892,20.003,,,,,4.892,20.074,,,,,4.892,20.015,,,,
4.996,19.980,,,,,,,,,,,4.999,20.003,,,,